Periodo,Total
2005/01,"14,411,125"
2005/02,"14,384,125"
2005/03,"14,537,989"
2005/04,"14,286,653"
2005/05,"14,335,654"
2005/06,"14,555,215"
2005/07,"14,456,033"
2005/08,"14,308,099"
2005/09,"14,762,316"
2005/10,"14,840,516"
2005/11,"14,651,164"
2005/12,"14,970,399"
2006/01,"14,883,096"
2006/02,"14,982,647"
2006/03,"15,090,121"
2006/04,"15,167,689"
2006/05,"14,919,310"
2006/06,"14,814,513"
2006/07,"15,534,635"
2006/08,"15,524,270"
2006/09,"15,167,112"
2006/10,"15,940,003"
2006/11,"15,808,490"
2006/12,"15,395,857"
2007/01,"15,779,030"
2007/02,"15,576,799"
2007/03,"15,622,706"
2007/04,"15,833,449"
2007/05,"15,710,443"
2007/06,"15,231,207"
2007/07,"15,825,489"
2007/08,"15,630,395"
2007/09,"15,839,336"
2007/10,"15,734,248"
2007/11,"16,157,074"
2007/12,"16,256,631"
2008/01,"15,743,263"
2008/02,"16,091,807"
2008/03,"16,289,240"
2008/04,"15,703,081"
2008/05,"16,184,640"
2008/06,"15,926,802"
2008/07,"15,767,451"
2008/08,"15,960,394"
2008/09,"16,433,796"
2008/10,"15,871,902"
2008/11,"16,124,671"
2008/12,"16,400,422"
2009/01,"15,640,544"
2009/02,"15,667,101"
2009/03,"15,881,350"
2009/04,"15,414,993"
2009/05,"15,639,187"
2009/06,"15,657,818"
2009/07,"15,270,416"
2009/08,"15,968,248"
2009/09,"15,657,359"
2009/10,"15,376,282"
2009/11,"15,901,734"
2009/12,"16,021,357"
2010/01,"15,056,006"
2010/02,"15,604,254"
2010/03,"15,866,339"
2010/04,"15,166,443"
2010/05,"15,757,800"
2010/06,"16,244,636"
2010/07,"15,502,108"
2010/08,"16,126,904"
2010/09,"15,993,348"
2010/10,"15,793,687"
2010/11,"16,646,209"
2010/12,"16,229,153"
2011/01,"15,530,613"
2011/02,"15,960,193"
2011/03,"16,035,206"
2011/04,"16,154,309"
2011/05,"16,300,638"
2011/06,"16,150,318"
2011/07,"16,434,154"
2011/08,"16,182,590"
2011/09,"16,256,334"
2011/10,"16,686,800"
2011/11,"16,691,769"
2011/12,"16,609,686"
2012/01,"16,116,379"
2012/02,"16,263,021"
2012/03,"16,767,072"
2012/04,"16,717,876"
2012/05,"16,892,100"
2012/06,"17,103,926"
2012/07,"16,627,301"
2012/08,"17,297,670"
2012/09,"17,252,030"
2012/10,"16,956,714"
2012/11,"17,486,839"
2012/12,"17,766,241"
2013/01,"16,415,669"
2013/02,"17,025,828"
2013/03,"17,953,193"
2013/04,"16,882,879"
2013/05,"17,629,903"
2013/06,"18,245,880"
2013/07,"17,577,272"
2013/08,"17,530,472"
2013/09,"18,318,733"
2013/10,"17,717,866"
2013/11,"18,230,287"
2013/12,"18,193,632"
2014/01,"17,872,320"
2014/02,"18,252,053"
2014/03,"18,099,946"
2014/04,"18,092,559"
2014/05,"18,565,062"
2014/06,"18,235,936"
2014/07,"18,028,923"
2014/08,"18,504,096"
2014/09,"18,217,307"
2014/10,"18,041,548"
2014/11,"18,779,603"
2014/12,"18,102,444"
2015/01,"18,214,528"
2015/02,"18,491,381"
2015/03,"18,085,940"
2015/04,"18,454,376"
2015/05,"18,724,019"
2015/06,"18,328,704"
2015/07,"18,172,072"
2015/08,"18,902,866"
2015/09,"18,386,422"
2015/10,"18,479,896"
2015/11,"19,125,636"
2015/12,"18,668,531"
2016/01,"18,244,617"
2016/02,"18,750,251"
2016/03,"18,887,297"
2016/04,"18,858,068"
2016/05,"18,960,605"
2016/06,"19,234,599"
2016/07,"19,238,433"
2016/08,"19,046,127"
2016/09,"19,445,722"
2016/10,"19,069,671"
2016/11,"19,490,874"
2016/12,"19,606,513"
2017/01,"18,870,674"
2017/02,"19,281,902"
2017/03,"19,500,069"
2017/04,"19,424,731"
2017/05,"19,679,262"
2017/06,"19,568,482"
2017/07,"19,465,015"
2017/08,"19,390,032"
2017/09,"19,569,074"
2017/10,"19,517,954"
2017/11,"19,703,881"
2017/12,"19,784,402"
2018/01,"19,529,306"
2018/02,"19,787,763"
2018/03,"19,753,649"
2018/04,"20,100,819"
2018/05,"20,227,045"
2018/06,"20,288,894"
2018/07,"20,102,097"
2018/08,"20,200,017"
2018/09,"20,279,086"
2018/10,"20,544,526"
2018/11,"19,993,088"
2018/12,"20,154,894"
2019/01,"20,137,665"
2019/02,"19,588,099"
2019/03,"20,316,565"
2019/04,"20,501,698"
2019/05,"20,519,391"
