Periodo,Total
2005/01,"14,635,250"
2005/02,"14,576,631"
2005/03,"14,740,049"
2005/04,"14,516,238"
2005/05,"14,523,051"
2005/06,"14,712,123"
2005/07,"14,619,491"
2005/08,"14,492,002"
2005/09,"14,908,618"
2005/10,"15,056,339"
2005/11,"14,794,984"
2005/12,"15,133,431"
2006/01,"15,049,981"
2006/02,"15,165,795"
2006/03,"15,252,986"
2006/04,"15,355,578"
2006/05,"15,087,844"
2006/06,"15,018,982"
2006/07,"15,703,247"
2006/08,"15,717,795"
2006/09,"15,365,579"
2006/10,"16,109,750"
2006/11,"15,986,066"
2006/12,"15,561,200"
2007/01,"15,944,670"
2007/02,"15,723,238"
2007/03,"15,801,471"
2007/04,"15,888,959"
2007/05,"15,764,291"
2007/06,"15,298,798"
2007/07,"15,900,283"
2007/08,"15,697,241"
2007/09,"15,891,185"
2007/10,"15,781,470"
2007/11,"16,201,203"
2007/12,"16,333,252"
2008/01,"15,782,036"
2008/02,"16,146,179"
2008/03,"16,339,450"
2008/04,"15,765,225"
2008/05,"16,235,673"
2008/06,"15,977,399"
2008/07,"15,809,988"
2008/08,"16,007,626"
2008/09,"16,520,827"
2008/10,"15,908,380"
2008/11,"16,173,447"
2008/12,"16,459,544"
2009/01,"15,691,736"
2009/02,"15,709,634"
2009/03,"15,922,378"
2009/04,"15,465,508"
2009/05,"15,709,775"
2009/06,"15,738,548"
2009/07,"15,317,808"
2009/08,"16,038,160"
2009/09,"15,688,821"
2009/10,"15,419,926"
2009/11,"15,956,907"
2009/12,"16,085,264"
2010/01,"15,095,244"
2010/02,"15,646,813"
2010/03,"15,911,391"
2010/04,"15,220,398"
2010/05,"15,805,134"
2010/06,"16,298,650"
2010/07,"15,526,852"
2010/08,"16,169,305"
2010/09,"16,036,112"
2010/10,"15,836,523"
2010/11,"16,691,853"
2010/12,"16,266,978"
2011/01,"15,567,645"
2011/02,"16,033,327"
2011/03,"16,083,355"
2011/04,"16,189,277"
2011/05,"16,340,075"
2011/06,"16,183,731"
2011/07,"16,458,038"
2011/08,"16,229,736"
2011/09,"16,307,085"
2011/10,"16,724,625"
2011/11,"16,728,981"
2011/12,"16,657,879"
2012/01,"16,159,048"
2012/02,"16,304,955"
2012/03,"16,828,903"
2012/04,"16,757,185"
2012/05,"16,927,560"
2012/06,"17,170,480"
2012/07,"16,646,423"
2012/08,"17,305,442"
2012/09,"17,270,283"
2012/10,"16,969,189"
2012/11,"17,494,644"
2012/12,"17,774,764"
2013/01,"16,428,843"
2013/02,"17,035,111"
2013/03,"17,964,804"
2013/04,"16,901,908"
2013/05,"17,645,275"
2013/06,"18,269,939"
2013/07,"17,590,360"
2013/08,"17,552,968"
2013/09,"18,333,967"
2013/10,"17,726,603"
2013/11,"18,243,365"
2013/12,"18,202,062"
2014/01,"17,878,806"
2014/02,"18,276,588"
2014/03,"18,106,875"
2014/04,"18,099,865"
2014/05,"18,570,289"
2014/06,"18,247,397"
2014/07,"18,038,152"
2014/08,"18,520,011"
2014/09,"18,228,899"
2014/10,"18,043,891"
2014/11,"18,789,322"
2014/12,"18,114,802"
2015/01,"18,232,859"
2015/02,"18,509,691"
2015/03,"18,100,308"
2015/04,"18,462,182"
2015/05,"18,736,522"
2015/06,"18,335,050"
2015/07,"18,180,363"
2015/08,"18,919,060"
2015/09,"18,396,446"
2015/10,"18,489,379"
2015/11,"19,144,744"
2015/12,"18,682,018"
2016/01,"18,264,854"
2016/02,"18,772,935"
2016/03,"18,928,606"
2016/04,"18,889,059"
2016/05,"18,992,658"
2016/06,"19,246,632"
2016/07,"19,287,568"
2016/08,"19,074,842"
2016/09,"19,477,991"
2016/10,"19,108,082"
2016/11,"19,519,966"
2016/12,"19,628,463"
2017/01,"18,934,917"
2017/02,"19,307,170"
2017/03,"19,555,116"
2017/04,"19,461,849"
2017/05,"19,721,741"
2017/06,"19,607,671"
2017/07,"19,558,444"
2017/08,"19,425,596"
2017/09,"19,618,209"
2017/10,"19,569,103"
2017/11,"19,729,388"
2017/12,"19,820,490"
2018/01,"19,575,040"
2018/02,"19,824,175"
2018/03,"19,791,522"
2018/04,"20,157,596"
2018/05,"20,272,251"
2018/06,"20,324,183"
2018/07,"20,169,133"
2018/08,"20,238,688"
2018/09,"20,309,759"
2018/10,"20,601,814"
2018/11,"20,027,899"
2018/12,"20,205,412"
2019/01,"20,187,589"
2019/02,"19,633,654"
