Periodo,Originales,Desestacionalizados
1997/07,"10,227,752","10,228,924"
1997/08,"10,291,473","10,303,354"
1997/09,"10,460,841","10,403,158"
1997/10,"10,607,271","10,504,875"
1997/11,"10,682,883","10,571,476"
1997/12,"10,536,717","10,657,559"
1998/01,"10,650,123","10,734,141"
1998/02,"10,749,014","10,773,716"
1998/03,"10,885,713","10,883,408"
1998/04,"10,971,363","10,951,204"
1998/05,"10,955,167","10,989,601"
1998/06,"11,028,169","11,049,105"
1998/07,"11,120,557","11,120,713"
1998/08,"11,186,179","11,183,835"
1998/09,"11,283,472","11,236,298"
1998/10,"11,376,307","11,275,469"
1998/11,"11,422,969","11,283,703"
1998/12,"11,243,230","11,374,221"
1999/01,"11,298,350","11,402,236"
1999/02,"11,427,884","11,452,860"
1999/03,"11,529,657","11,523,051"
1999/04,"11,595,331","11,576,758"
1999/05,"11,616,028","11,634,321"
1999/06,"11,650,220","11,684,807"
1999/07,"11,699,653","11,706,444"
1999/08,"11,795,913","11,787,380"
1999/09,"11,918,475","11,861,282"
1999/10,"11,992,623","11,905,488"
1999/11,"12,148,037","11,997,274"
1999/12,"11,905,112","12,040,060"
2000/01,"12,034,095","12,128,274"
2000/02,"12,158,433","12,194,066"
2000/03,"12,258,841","12,255,679"
2000/04,"12,254,009","12,257,150"
2000/05,"12,345,063","12,347,942"
2000/06,"12,405,558","12,430,454"
2000/07,"12,494,633","12,501,885"
2000/08,"12,554,723","12,545,467"
2000/09,"12,605,656","12,573,224"
2000/10,"12,724,493","12,614,279"
2000/11,"12,777,514","12,620,462"
2000/12,"12,437,760","12,598,143"
2001/01,"12,525,949","12,609,991"
2001/02,"12,559,358","12,582,531"
2001/03,"12,530,250","12,534,934"
2001/04,"12,534,173","12,514,894"
2001/05,"12,505,105","12,509,263"
2001/06,"12,418,906","12,461,071"
2001/07,"12,416,576","12,417,906"
2001/08,"12,406,096","12,401,029"
2001/09,"12,358,665","12,337,204"
2001/10,"12,423,519","12,313,047"
2001/11,"12,451,466","12,301,601"
2001/12,"12,170,945","12,305,169"
2002/01,"12,195,513","12,277,882"
2002/02,"12,275,211","12,295,944"
2002/03,"12,221,087","12,264,752"
2002/04,"12,352,690","12,306,892"
2002/05,"12,338,063","12,339,425"
2002/06,"12,288,156","12,332,024"
2002/07,"12,368,684","12,367,220"
2002/08,"12,340,462","12,349,177"
2002/09,"12,400,521","12,361,409"
2002/10,"12,457,620","12,351,400"
2002/11,"12,472,617","12,340,412"
2002/12,"12,232,301","12,354,736"
2003/01,"12,269,469","12,349,301"
2003/02,"12,321,596","12,341,647"
2003/03,"12,348,257","12,350,042"
2003/04,"12,337,553","12,332,640"
2003/05,"12,269,056","12,279,970"
2003/06,"12,270,626","12,291,272"
2003/07,"12,270,143","12,275,304"
2003/08,"12,229,764","12,257,885"
2003/09,"12,323,341","12,281,198"
2003/10,"12,427,371","12,319,698"
2003/11,"12,462,714","12,333,134"
2003/12,"12,257,581","12,369,570"
2004/01,"12,294,000","12,380,832"
2004/02,"12,351,665","12,387,271"
2004/03,"12,478,529","12,467,053"
2004/04,"12,505,272","12,494,386"
2004/05,"12,495,167","12,509,388"
2004/06,"12,515,338","12,545,217"
2004/07,"12,550,854","12,568,698"
2004/08,"12,597,254","12,604,822"
2004/09,"12,683,727","12,638,648"
2004/10,"12,737,398","12,648,384"
2004/11,"12,871,388","12,707,463"
2004/12,"12,632,877","12,749,594"
2005/01,"12,697,125","12,786,494"
2005/02,"12,788,890","12,812,605"
2005/03,"12,799,019","12,816,962"
2005/04,"12,852,756","12,841,337"
2005/05,"12,884,166","12,898,609"
2005/06,"12,911,021","12,927,792"
2005/07,"12,904,401","12,941,633"
2005/08,"13,014,610","13,013,528"
2005/09,"13,114,254","13,065,425"
2005/10,"13,234,501","13,119,628"
2005/11,"13,327,162","13,168,129"
2005/12,"13,061,565","13,190,138"
2006/01,"13,174,495","13,261,292"
2006/02,"13,285,285","13,311,648"
2006/03,"13,392,387","13,387,072"
2006/04,"13,402,509","13,427,562"
2006/05,"13,486,515","13,499,862"
2006/06,"13,550,640","13,571,329"
2006/07,"13,604,538","13,628,176"
2006/08,"13,676,931","13,675,138"
2006/09,"13,756,687","13,721,987"
2006/10,"13,894,328","13,762,389"
2006/11,"13,981,314","13,799,046"
2006/12,"13,678,492","13,827,501"
2007/01,"13,794,601","13,879,174"
2007/02,"13,908,701","13,938,983"
2007/03,"13,973,905","13,980,164"
