Periodo,Total
2005/01,"26,248,603"
2005/02,"26,521,502"
2005/03,"26,655,200"
2005/04,"26,161,506"
2005/05,"27,002,774"
2005/06,"27,152,087"
2005/07,"27,420,834"
2005/08,"27,314,672"
2005/09,"27,198,824"
2005/10,"27,393,904"
2005/11,"27,528,831"
2005/12,"27,585,962"
2006/01,"27,118,690"
2006/02,"27,045,543"
2006/03,"27,470,895"
2006/04,"27,441,408"
2006/05,"27,935,900"
2006/06,"27,671,884"
2006/07,"27,896,338"
2006/08,"27,381,429"
2006/09,"27,518,624"
2006/10,"27,556,920"
2006/11,"28,049,568"
2006/12,"27,356,428"
2007/01,"27,022,005"
2007/02,"27,507,077"
2007/03,"27,432,753"
2007/04,"27,426,054"
2007/05,"28,304,430"
2007/06,"28,214,941"
2007/07,"28,238,408"
2007/08,"27,989,546"
2007/09,"27,306,084"
2007/10,"28,761,791"
2007/11,"29,012,784"
2007/12,"28,310,374"
2008/01,"27,938,757"
2008/02,"28,469,229"
2008/03,"28,080,951"
2008/04,"29,021,027"
2008/05,"28,626,191"
2008/06,"29,019,700"
2008/07,"28,785,376"
2008/08,"28,496,961"
2008/09,"28,061,845"
2008/10,"28,137,394"
2008/11,"28,482,062"
2008/12,"27,855,886"
2009/01,"28,536,292"
2009/02,"28,588,496"
2009/03,"28,331,302"
2009/04,"28,635,282"
2009/05,"29,195,422"
2009/06,"29,194,926"
2009/07,"29,636,493"
2009/08,"29,716,784"
2009/09,"29,606,416"
2009/10,"30,471,616"
2009/11,"30,174,561"
2009/12,"29,674,730"
2010/01,"29,473,504"
2010/02,"29,543,461"
2010/03,"29,955,545"
2010/04,"30,323,530"
2010/05,"30,783,341"
2010/06,"30,193,839"
2010/07,"30,260,214"
2010/08,"30,359,965"
2010/09,"29,715,240"
2010/10,"29,463,333"
2010/11,"29,249,763"
2010/12,"28,911,847"
2011/01,"29,530,376"
2011/02,"29,705,871"
2011/03,"30,017,366"
2011/04,"29,806,370"
2011/05,"30,436,857"
2011/06,"30,421,039"
2011/07,"30,463,745"
2011/08,"30,675,007"
2011/09,"30,660,330"
2011/10,"31,003,760"
2011/11,"31,196,419"
2011/12,"31,333,028"
2012/01,"30,946,437"
2012/02,"30,774,378"
2012/03,"31,046,757"
2012/04,"31,020,777"
2012/05,"31,906,087"
2012/06,"31,993,468"
2012/07,"32,263,884"
2012/08,"31,708,607"
2012/09,"31,299,916"
2012/10,"31,406,343"
2012/11,"31,079,600"
2012/12,"30,380,668"
2013/01,"30,834,301"
2013/02,"31,563,699"
2013/03,"30,221,258"
2013/04,"31,367,688"
2013/05,"31,844,076"
2013/06,"31,083,133"
2013/07,"32,122,952"
2013/08,"31,386,916"
2013/09,"30,462,617"
2013/10,"31,574,731"
2013/11,"31,518,888"
2013/12,"31,819,207"
2014/01,"30,897,369"
2014/02,"30,472,107"
2014/03,"31,045,081"
2014/04,"30,889,455"
2014/05,"30,708,917"
2014/06,"30,845,111"
2014/07,"31,466,706"
2014/08,"30,391,694"
2014/09,"31,240,607"
2014/10,"31,092,211"
2014/11,"30,844,826"
2014/12,"32,048,269"
2015/01,"31,165,042"
2015/02,"31,165,763"
2015/03,"31,733,792"
2015/04,"31,361,851"
2015/05,"31,400,177"
2015/06,"32,129,198"
2015/07,"32,445,182"
2015/08,"31,820,587"
2015/09,"31,738,982"
2015/10,"32,450,283"
2015/11,"33,133,868"
2015/12,"32,238,920"
2016/01,"32,063,500"
2016/02,"32,043,417"
2016/03,"31,769,572"
2016/04,"32,189,302"
2016/05,"32,482,942"
2016/06,"31,868,685"
2016/07,"32,932,867"
2016/08,"32,609,186"
2016/09,"31,966,980"
2016/10,"32,562,059"
2016/11,"32,437,426"
2016/12,"32,285,960"
2017/01,"32,478,639"
2017/02,"32,464,693"
2017/03,"32,327,892"
2017/04,"32,185,118"
2017/05,"32,299,243"
2017/06,"32,502,272"
2017/07,"33,196,038"
2017/08,"32,316,927"
2017/09,"32,311,821"
2017/10,"33,070,382"
2017/11,"32,749,772"
2017/12,"32,731,579"
2018/01,"33,115,814"
2018/02,"32,720,873"
2018/03,"33,135,193"
2018/04,"33,138,589"
2018/05,"33,242,317"
2018/06,"33,151,734"
2018/07,"33,480,178"
2018/08,"33,487,026"
2018/09,"33,125,023"
2018/10,"33,069,488"
2018/11,"33,992,068"
2018/12,"33,468,735"
2019/01,"33,252,389"
2019/02,"34,057,146"
2019/03,"34,274,203"
2019/04,"33,364,826"
2019/05,"34,079,824"
2019/06,"34,406,081"
2019/07,"33,929,688"
2019/08,"34,357,702"
2019/09,"34,309,742"
2019/10,"33,927,676"
2019/11,"34,440,987"
2019/12,"34,617,600"
2020/01,"33,758,526"
2020/02,"34,499,726"
2020/03,"34,391,395"
2020/04,"23,043,447"
2020/05,"24,941,942"
2020/06,"27,911,723"
2020/07,"29,727,137"
2020/08,"30,263,754"
2020/09,"30,856,241"
2020/10,"32,231,217"
2020/11,"32,648,616"
2020/12,"32,151,770"
2021/01,"31,640,073"
2021/02,"32,651,398"
2021/03,"33,409,471"
2021/04,"33,261,094"
2021/05,"33,284,068"
2021/06,"33,340,033"
2021/07,"34,649,432"
2021/08,"34,179,263"
2021/09,"33,621,758"
2021/10,"34,287,936"
2021/11,"34,503,730"
2021/12,"35,060,776"
2022/01,"33,472,360"
2022/02,"33,950,922"
2022/03,"34,611,388"
2022/04,"34,931,594"
2022/05,"34,768,136"
2022/06,"35,148,172"
2022/07,"34,953,049"
2022/08,"34,950,457"
2022/09,"35,113,795"
2022/10,"35,290,938"
2022/11,"35,591,648"
2022/12,"34,831,765"
2023/01,"35,356,137"
2023/02,"35,553,894"
2023/03,"35,728,871"
2023/04,"35,539,904"
2023/05,"35,253,081"
2023/06,"35,583,204"
2023/07,"36,330,095"
2023/08,"35,839,832"
2023/09,"35,206,095"
