Periodo,Total
2005/01,"9,594,912"
2005/02,"9,857,280"
2005/03,"10,087,194"
2005/04,"9,762,342"
2005/05,"9,910,860"
2005/06,"10,204,844"
2005/07,"10,185,746"
2005/08,"9,982,755"
2005/09,"10,354,691"
2005/10,"10,132,598"
2005/11,"9,991,766"
2005/12,"10,205,259"
2006/01,"9,960,765"
2006/02,"9,853,969"
2006/03,"10,095,631"
2006/04,"9,832,285"
2006/05,"9,968,613"
2006/06,"10,175,318"
2006/07,"10,173,628"
2006/08,"9,884,752"
2006/09,"10,367,094"
2006/10,"10,229,935"
2006/11,"10,093,537"
2006/12,"9,894,368"
2007/01,"9,830,182"
2007/02,"9,802,121"
2007/03,"10,125,473"
2007/04,"9,832,494"
2007/05,"10,014,985"
2007/06,"10,491,630"
2007/07,"10,143,886"
2007/08,"9,979,990"
2007/09,"10,183,440"
2007/10,"10,151,981"
2007/11,"10,066,387"
2007/12,"10,256,377"
2008/01,"9,969,905"
2008/02,"9,819,124"
2008/03,"10,235,536"
2008/04,"10,426,207"
2008/05,"10,064,926"
2008/06,"10,587,301"
2008/07,"10,365,013"
2008/08,"10,290,632"
2008/09,"10,385,134"
2008/10,"10,353,364"
2008/11,"9,261,809"
2008/12,"9,214,608"
2009/01,"10,228,487"
2009/02,"10,181,477"
2009/03,"10,231,598"
2009/04,"10,414,911"
2009/05,"10,493,857"
2009/06,"10,753,340"
2009/07,"10,809,687"
2009/08,"11,206,555"
2009/09,"11,182,084"
2009/10,"11,058,547"
2009/11,"10,931,878"
2009/12,"10,807,969"
2010/01,"10,316,372"
2010/02,"10,553,612"
2010/03,"10,718,055"
2010/04,"10,727,826"
2010/05,"11,047,981"
2010/06,"10,940,642"
2010/07,"10,630,662"
2010/08,"10,829,694"
2010/09,"10,693,744"
2010/10,"9,313,845"
2010/11,"9,370,955"
2010/12,"9,333,364"
2011/01,"10,403,749"
2011/02,"10,452,445"
2011/03,"10,772,711"
2011/04,"10,390,602"
2011/05,"10,719,286"
2011/06,"10,913,811"
2011/07,"10,430,917"
2011/08,"10,826,752"
2011/09,"10,892,911"
2011/10,"10,793,848"
2011/11,"10,995,475"
2011/12,"11,086,539"
2012/01,"10,742,333"
2012/02,"10,972,744"
2012/03,"11,313,563"
2012/04,"10,914,819"
2012/05,"11,145,364"
2012/06,"11,595,520"
2012/07,"11,510,204"
2012/08,"11,416,112"
2012/09,"11,285,366"
2012/10,"10,322,081"
2012/11,"9,917,131"
2012/12,"9,873,444"
2013/01,"10,935,904"
2013/02,"11,320,311"
2013/03,"10,867,820"
2013/04,"11,162,674"
2013/05,"11,633,062"
2013/06,"11,290,452"
2013/07,"11,537,948"
2013/08,"11,589,459"
2013/09,"11,269,003"
2013/10,"10,879,770"
2013/11,"11,238,225"
2013/12,"11,337,278"
2014/01,"10,874,004"
2014/02,"10,990,947"
2014/03,"11,265,644"
2014/04,"10,901,802"
2014/05,"10,951,197"
2014/06,"11,104,832"
2014/07,"11,158,947"
2014/08,"10,976,818"
2014/09,"11,476,129"
2014/10,"10,881,683"
2014/11,"11,174,548"
2014/12,"11,550,648"
2015/01,"11,201,168"
2015/02,"11,106,620"
2015/03,"11,564,364"
2015/04,"10,952,986"
2015/05,"11,398,967"
2015/06,"11,618,185"
2015/07,"11,467,144"
2015/08,"11,564,126"
2015/09,"11,420,724"
2015/10,"11,345,834"
2015/11,"11,956,799"
2015/12,"11,143,294"
2016/01,"11,317,028"
2016/02,"11,609,873"
2016/03,"11,399,986"
2016/04,"11,262,658"
2016/05,"11,711,977"
2016/06,"11,333,231"
2016/07,"11,762,295"
2016/08,"11,887,246"
2016/09,"11,484,520"
2016/10,"11,670,847"
2016/11,"11,787,110"
2016/12,"11,280,710"
2017/01,"11,247,859"
2017/02,"11,391,364"
2017/03,"11,550,027"
2017/04,"11,463,533"
2017/05,"11,659,824"
2017/06,"11,738,293"
2017/07,"11,752,530"
2017/08,"11,628,110"
2017/09,"11,813,109"
2017/10,"11,617,758"
2017/11,"11,731,973"
2017/12,"11,713,963"
2018/01,"11,463,093"
2018/02,"11,975,873"
2018/03,"12,012,454"
2018/04,"12,039,194"
2018/05,"12,101,304"
2018/06,"11,961,196"
2018/07,"12,084,338"
2018/08,"12,386,129"
2018/09,"12,159,366"
2018/10,"12,105,422"
2018/11,"12,421,698"
2018/12,"11,597,251"
2019/01,"12,242,891"
2019/02,"12,303,636"
2019/03,"12,348,161"
2019/04,"12,357,607"
2019/05,"12,562,905"
2019/06,"12,434,111"
2019/07,"12,439,605"
2019/08,"12,541,523"
2019/09,"12,272,055"
2019/10,"12,721,038"
2019/11,"12,351,812"
2019/12,"12,463,812"
2020/01,"12,446,133"
2020/02,"12,756,312"
2020/03,"12,035,777"
2020/04,"7,739,203"
2020/05,"8,285,341"
2020/06,"9,849,519"
2020/07,"11,111,609"
2020/08,"11,362,970"
2020/09,"11,576,187"
2020/10,"12,393,510"
2020/11,"12,060,053"
2020/12,"11,843,076"
2021/01,"12,067,390"
2021/02,"12,336,924"
2021/03,"12,305,086"
2021/04,"12,346,734"
2021/05,"12,466,261"
2021/06,"12,365,763"
2021/07,"13,125,747"
2021/08,"12,850,588"
2021/09,"12,405,220"
2021/10,"13,157,603"
2021/11,"13,191,307"
2021/12,"13,042,762"
2022/01,"12,530,822"
2022/02,"12,779,848"
2022/03,"12,715,002"
2022/04,"12,875,111"
2022/05,"13,214,571"
2022/06,"13,193,936"
2022/07,"12,831,672"
2022/08,"13,177,400"
2022/09,"13,459,298"
2022/10,"13,207,797"
2022/11,"13,202,874"
2022/12,"13,249,246"
2023/01,"12,913,073"
2023/02,"13,346,690"
2023/03,"13,106,457"
2023/04,"13,191,356"
2023/05,"13,124,296"
2023/06,"13,193,953"
2023/07,"13,533,939"
2023/08,"13,005,359"
2023/09,"12,953,987"
